Passenger id,Survived,Pclass,Title,Last Name,First Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,,,,
1,0,3,Mr,Braund, Owen Harris,male,22,1,0,A/5 21171,7.25,,S,,,,
2,1,1,Mrs,Cumings, John Bradley (Florence Briggs Thayer),female,38,1,0,PC 17599,71.2833,C85,C,,,,
3,1,3,Miss,Heikkinen, Laina,female,26,0,0,STON/O2. 3101282,7.925,,S,,,,#DIV/0!
4,1,1,Mrs,Futrelle, Jacques Heath (Lily May Peel),female,35,1,0,113803,53.1,C123,S,,,,
5,0,3,Mr,Allen, William Henry,male,35,0,0,373450,8.05,,S,,,,
6,0,3,Mr,Moran, James,male,30,0,0,330877,8.4583,,Q,,,,
7,0,1,Mr,McCarthy, Timothy J,male,54,0,0,17463,51.8625,E46,S,,,,
8,0,3,Mr,Palsson, Gosta Leonard,male,2,3,1,349909,21.075,,S,,,,
9,1,3,Mrs,Johnson, Oscar W (Elisabeth Vilhelmina Berg),female,27,0,2,347742,11.1333,,S,,,,
10,1,2,Mrs,Nasser, Nicholas (Adele Achem),female,14,1,0,237736,30.0708,,C,,,,
11,1,3,Miss,Sandstrom, Marguerite Rut,female,4,1,1,PP 9549,16.7,G6,S,,,,
12,1,1,Miss,Bonnell, Elizabeth,female,58,0,0,113783,26.55,C103,S,,,,
13,0,3,Mr,Saundercock, William Henry,male,20,0,0,A/5. 2151,8.05,,S,,,,
14,0,3,Mr,Andersson, Anders Johan,male,39,1,5,347082,31.275,,S,,,,
15,0,3,Miss,Vestrom, Hulda Amanda Adolfina,female,14,0,0,350406,7.8542,,S,,,,
16,1,2,Mrs,Hewlett, (Mary D Kingcome) ,female,55,0,0,248706,16,,S,,,,
17,0,3,Mr,Rice, Eugene,male,2,4,1,382652,29.125,,Q,,,,
18,1,2,Mr,Williams, Charles Eugene,male,30,0,0,244373,13,,S,,,,
19,0,3,Mrs,Vander Planke, Julius (Emelia Maria Vandemoortele),female,31,1,0,345763,18,,S,,,,
20,1,3,Miss,Masselmani, Fatima,female,30,0,0,2649,7.225,,C,,,,
21,0,2,Mr,Fynney, Joseph J,male,35,0,0,239865,26,,S,,,,
22,1,2,Mr,Beesley, Lawrence,male,34,0,0,248698,13,D56,S,,,,
23,1,3,Miss,McGowan," Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,,,,
24,1,1,Mr,Sloper, William Thompson,male,28,0,0,113788,35.5,A6,S,,,,
25,0,3,Miss,Palsson, Torborg Danira,female,8,3,1,349909,21.075,,S,,,,
